"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"mu usz-bar x 2(disz) tug2 usz-bar tur";"for the  weavers  2 small weaver garments";"year following 2 weaver of dumugi from the inspection of luninmar";"4.932352"
"2";"ensi2-ke4 a2 in-da-ag2 gi-zi-bi";"the governor  ordered  but these fresh reeds";"the governor going out at the opening of the battle";"8.392230"
"3";"2(disz) erin2 u4 3(u)-sze3 ki ur-{d}lamma dumu ur-nig2-ta";"2 labortroops for 3 days from urlamma son of urnig";"2 labortroops for 3 days from urnane to lugalsiskure";"52.562406"
"4";"ki-la2-bi 1(u) 2(disz) 1/3(disz) ma-na 7(disz) tug2 sag usz-bar";"their weight is 12 13 mana  7 sagubar garments";"its extent 12 mana 7 13 shekels from the governor";"9.980099"
"5";"4(u) 1(asz) 3(ban2) 4(disz) 1/2(disz) sila3 sze gur";"41 gur 3 ban 4 12 sila barley";"4 gur 3 ban2 4 sila3 barley";"13.540372"
"6";"3(disz) sila3 kasz 2(disz) sila ninda";"3 sila3 beer 2 sila3 bread";"3 sila3 beer 2 sila3 bread";"100.000000"
"7";"zi-ga la2-ia3 1(disz) ma-na 2(disz) 1/2(disz) gin2 ku3";"booked out  the deficit 1 mana 2 12 shekels silver";"booked out deficit 1 mana 2 12 shekels 27 grains";"58.143074"
"8";"ugu2 lu2-kal-la ga2-ga2-dam 1(barig) 1(ban2) 8(disz) 1/2(disz) sila3 i3-nun";"to be entered to the debit account of lukala  1 barig 1 ban2 8 12 sila3 butter oil";"it is to be placed on the debit account of mani gur";"15.291812"
"9";"6(disz) masz-da3 e2-uz-ga mu-kux(DU) sza3-ga-na-kum";"6 gazelles  to household uzga  delivery of aganakkum";"6 e2-nun-@@ of sig7-ga 1 lamb { exchange } for lapis lazuli";"4.027248"
"10";"pisan-dub-ba siki-ba szu-du7-a sza3 umma{ki}";"basketoftablets  wool rations completed  in umma";"basketoftablets wool rations completed in umma";"100.000000"
"11";"2(esze3) 3(iku) 1/2(iku) GAN2 4(asz) 3(ban2)";"2 ee3 3 12 iku surface 4 gur 3 ban2";"2 ee3 3 12 iku surface area at 4 each its barley 4 gur 3 barig field agetin bordering prince";"30.024909"
"12";"1(disz) ab2 mu 3(disz) 1(disz) ab2 mu 2(disz)";"1 heifer 3 years old  1 heifer 2 years old";"1 heifer 3 years old 1 heifer 2 years old";"100.000000"
"13";"da-da-ga szu ba-ti iti pa4-u2-e";"dadaga received month paue";"is your servant is your servant";"4.058349"
"14";"nig2-{d}ba-ba6 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2";"for nigbaba  3 sila3 beer 2 sila3 bread 2 bundles onions";"for urbaba 3 sila3 beer 2 sila3 bread 2 bundles onions";"80.705573"
"15";"kiszib3 gu-du-du 1(gesz2) 1(u) la2 1(disz) geme2 u4 1(disz)-sze3 kab2-ku5 u2-du-...";"under seal of gududu  69 workdays at the reservoir of udu";"under seal of gududu 69 workdays at the reservoir of udu 138 workdays at the reservoir of the erected wall and the";"46.086625"
"16";"2(u) 5(asz) 1(barig) 1(ban2) 8(disz) sila3 sze gur";"25 gur 1 barig 1 ban2 8 sila3 barley";"25 gur 1 barig 1 ban2 8 sila3 barley";"100.000000"
"17";"n ... ki a-szi-an-x";"with aian  with aian  with aian";"with aian with aian";"60.653066"
"18";"2(disz) x x x 1(disz) udu ma-a-an-du i3-du8";"2    1 sheep mandu doorkeeper";"2 sheep with fleece 1 sheep without fleece";"12.223076"
"19";"u2 sze gesz-e3-a szabra-ne i3-gal2";"and barley threshed  of the chief house administrators  are here";"sealed documents of the orchardists foreman dadu foreman of the bala";"7.495553"
"20";"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 bad3 du3-a";"workdays at the field erected wall";"workdays at the field ninnudu the second";"41.113362"
"21";"lugal an-ub-da limmu2-ba a2-ni-a2 dumu ur-mes";"king of the four corners  is your servant  is your servant";"king of the four corners is your servant is your servant";"100.000000"
"22";"ki ab-ba-sa6-ga-ta zu-ba-ga i3-dab5";"from abbasaga  zubaga  accepted";"from abbasaga tamaram accepted";"35.355339"
"23";"1(u) 8(asz) 1(barig) kiszib3 ur-{d}ba-ba6 7(asz) 3(ban2) kiszib3 ur-{d}ig-alim dumu da-da";"and 18 gur 1 barig under seal of urbaba 7 gur 3 ban2 under seal of urigalim son of dada";"18 gur 1 barig 3 ban2 under seal of urninmar under seal of lugal";"34.744537"
"24";"5(asz) 2(barig) zi3 gur la2-ia3 nig2-ka9-ak la2-ia3";"5 gur 2 barig flour  deficit of the account";"5 gur 2 barig flour the deficit of the account of intaea";"53.107253"
"25";"b. 5(disz) kusz3 dagal a. 1(u) 1(disz) kusz3 gid2";"5 cubits the width  11 cubits the length";"11 cubits 6 cubits";"13.006502"
"26";"2(u) 9(asz) 4(barig) 1(ban2) zi3 gur";"29 gur 4 barig 1 ban2 flour";"21 gur 4 barig 1 ban2 groats threshing floor";"44.632361"
"27";"pisan-dub-ba kiszib3 dab-ba da-da-mu";"basketoftablets  sealed documents of dab  dadamu";"basketoftablets sealed documents of dab of zamu foreman";"51.697315"
"28";"sze de6-a gur-gi mu sza-asz-ru-um ba-hul";"barley delivered  year arum was destroyed";"barley delivered year arum was destroyed barley year the house of puzridagan";"41.722614"
"29";"sipa udu niga-ke4 a mu-na-ru";"the shepherd of the fattened sheep   dedicated this seal";"the shepherd of the country the strong king";"30.509752"
"30";"sze bala-bi 4(barig) 1(gesz'u) 8(gesz2) 6(asz) 4(barig) 1(ban2) 8(disz) sila3 gur";"its bala barley 4 barig and 186 gur 4 barig 1 ban2 8 sila3";"its bala barley 4 barig and total 186 gur 4 barig 1 ban2 8 sila3";"80.032032"
"31";"ur-e2-masz dub-sar dumu ur-sila-luh";"urema  scribe  son of ursilalu";"abbagina scribe son of lugaluur";"39.763536"
"32";"1(disz) sila4 AN ...-x 1(disz) udu niga siskur2 {d}nanna";"1 lamb   1 sheep grainfed offering of nanna";"1 lamb for throne of enlil 1 lamb for";"11.339582"
"33";"a2-bi u4 1(gesz2) 1(disz) 1(gesz'u) 2(u) 8(disz) 1/3(disz) sar al 6(disz) 1/2(disz) sar-ta";"its labor 61 days  628 13 sar at 6 12 sar a day";"its labor 66 13 workdays 727 12 sar per day";"9.730314"
"34";"iri-sa12-rigx(|PA.MUNUS.HUB2.DU|){ki}-ta u4 2(disz)-sze3 kun-zi-da {gesz}kiri6 gesztin-sze3 ma2 diri-ga";"from irisagrig  two workdays to reservoir of   vineyard barge floated";"from irisagrig two workdays to reservoir of vineyard barge punted for 8 workday at uriruvillage barley transferred";"47.967645"
"35";"1(u) 7(asz) 2(ban2) gur kiszib3 ur-e2-ninnu";"17 gur 2 ban2 under seal of ureninnu";"17 gur 2 ban2 under seal of ureninnu 2 ban2 ureninnu";"67.865027"
"36";"sze-bi 1(u) 4(asz) 1(barig) gur a-sza3 pu2-a2-uz";"its barley 14 gur 1 barig  field puauz";"its barley 14 gur 1 barig field puauz";"100.000000"
"37";"sza3 umma{ki} mu us2-sa e2 puzur4 ba-du3";"in umma  year following the house of puzri was built";"the temple of umma year after the house of puzridagan was erected";"16.590387"
"38";"3(gesz2) gurusz u4 1(disz)-sze3 kiszib3-bi 2(disz)-am3";"18 workdays male laborers the sealed documents are 2";"3 workdays male laborers various bookedouts";"18.325568"
"39";"dingir-sukkal 5(disz) sila3 kasz 5(disz) sila3 ninda 2(disz) sa szum2";"for dingirsukkal  5 sila3 beer 5 sila3 bread 2 bundles onions";"for dingirsukkal 5 sila3 beer 5 sila3 bread 2 bundles onions";"100.000000"
"40";"szunigin 1(bur3) 4(iku) 1/4(iku) GAN2 8(disz)-ta";"total 1 bur3 4 14 iku surface area at 8 each";"total 1 bur3 4 14 iku surface area at 8 12 each";"82.651682"
"41";"1(disz) udu 1(disz) sila4 1(disz) sila4 ga";"1 ram  1 male lamb  1 male suckling lamb";"1 sheep 1 lamb 1 suckling lamb";"15.447879"
"42";"1(u) la2 1(disz) udu 3(disz) masz2";"1 less 1 rams  3 billy goats";"9 sheep 9 billy goats";"14.320952"
"43";"2(disz) ad7 gu4 2(disz) kun gu4";"2 carcases of oxen  5 tails of oxen";"2 carcasses of oxen tendon of 2 oxen";"13.888095"
"44";"iti sze-sag11-ku5 mu {d}szu-{d}suen lugal 2(gesz2) 5(u) 5(disz)";"month harvest  year usuen is king  total 175";"month harvest year usuen the king the amorite wall erected";"27.776190"
"45";"szunigin 1(bur3) GAN2 1(u) la2 1/2(disz)-ta";"total 1 bur3 surface area at 1 less 12 each";"total 1 bur3 surface area at 1 less 1 each";"78.254229"
"46";"mu hu-uh2-nu-ri{ki} ba-hul 8(disz)";"year unuri was destroyed  total 8";"year unuri was destroyed total 8";"100.000000"
"47";"inim-{d}szara2 engar dumu ur-{gesz}gigir 1(bur3) 1(esze3) GAN2 1(u) 1(disz)-ta";"inimara the plowman son of urgigir  1 bur3 1 ee3 surface area at 11 each";"inimara animal plowman 1 bur3 1 ee3 surface area at 11 each";"58.164133"
"48";"kiszib3 lu2-gu-la sanga {d}dumu-zi ur-nig2-e";"under seal of lugula  high priest of dumuzi  by urnig";"sealed tablet of urgigir the chief administrator of poor";"5.073552"
"49";"3(gesz'u) sze gur 4(u) gig gur";"18 gur barley  4 gur wheat";"3 gur barley 4 gur wheat";"75.983569"
"50";"a2-bi u4 4(szar2) 4(gesz'u) 8(gesz2) 3(u) 4(disz) 1/2(disz)";"labor involved 17314 12 workdays";"labor involved 17314 12 workdays its 16th included burden set in umma";"31.702331"
